"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_PLAYZ_FISHING_MOD_RELIABGEAR_DESC,Reduces the chance of losing hooks and bait when your line snaps or a fish escapes.,Reduces the chance of losing hooks and bait when your line snaps or a fish escapes.,"Snižuje šanci na ztrátu háčků a návnady, když se vám přetrhne vlasec nebo ryba unikne.","Reduziert die Chance, Haken und Köder zu verlieren, wenn Ihre Schnur reißt oder ein Fisch entkommt.",Снижает шанс потери крючков и наживки при обрыве лески или уходе рыбы.,Zmniejsza szansę na utratę haczyków i przynęty w przypadku zerwania żyłki lub ucieczki ryby.,"Csökkenti a horgok és csalik elvesztésének esélyét, ha elszakad a zsinór vagy elmenekül a hal.",Riduce la possibilità di perdere ami ed esche quando la lenza si spezza o un pesce scappa.,Reduce la posibilidad de perder anzuelos y cebo cuando se rompe el hilo o se escapa un pez.,Réduit les risques de perdre des hameçons et des appâts lorsque votre ligne casse ou qu'un poisson s'échappe.,當魚線斷裂或魚兒逃脫時，降低丟失魚鉤與魚餌的機率。,ラインが切れたり魚が逃げたりしたときに、フックやベイトを失う可能性を減らします。,Reduz a chance de perder anzóis e iscas quando sua linha arrebenta ou um peixe escapa.,当鱼线断裂或鱼儿逃脱时，降低丢失鱼钩与鱼饵的概率。,
STR_PLAYZ_FISHING_MOD_MASTERF_NAME,Icarian Filleting,Icarian Filleting,Icarian filetování,Icarian-Filetierung,Икарийская разделка,Icarian filetowanie,Icarian filézés,Sfilettatura icariana,Fileteado icariano,Filetage icarien,伊卡洛斯切片,イカリアン・フィレティング,Filetagem icariana,伊卡洛斯切片,
STR_PLAYZ_FISHING_MOD_MASTERF_DESC,Maximizes the quantity of meat harvested from fish by using precision cutting techniques.,Maximizes the quantity of meat harvested from fish by using precision cutting techniques.,Maximalizuje množství masa získaného z ryb použitím technik přesného řezání.,Maximiert die aus Fisch gewonnene Fleischmenge durch präzise Schneidetechniken.,"Максимизирует количество мяса, получаемого из рыбы, за счет использования техник точной резки.",Maksymalizuje ilość mięsa pozyskiwanego z ryb dzięki zastosowaniu technik precyzyjnego cięcia.,Precíziós vágási technikák alkalmazásával maximalizálja a halakból kinyert hús mennyiségét.,Massimizza la quantità di carne raccolta dal pesce utilizzando tecniche di taglio di precisione.,Maximiza la cantidad de carne recolectada del pescado mediante técnicas de corte de precisión.,Maximise la quantité de viande récoltée sur le poisson en utilisant des techniques de coupe de précision.,使用精密切割技術，最大化從魚類身上收穫的肉量。,精密なカット技術により、魚から採れる肉の量を最大限に増やします。,Maximiza a quantidade de carne colhida de peixes usando técnicas de corte de precisão.,使用精密切割技术，最大化从鱼类身上收获的肉量。,
STR_PLAYZ_PERK_STLTH_NINJA_NAME,Ninja,Ninja,Ninja,Ninja,Ниндзя,Ninja,Nindzsa,Ninja,Ninja,Ninja,忍者,忍者,Ninja,忍者,
STR_PLAYZ_PERK_STLTH_NINJA_DESC,Subtle movements and breath control that make you quieter during the night.,Subtle movements and breath control that make you quieter during the night.,"Jemné pohyby a ovládání dechu, díky nimž jste v noci tišší.","Subtile Bewegungen und Atemkontrolle, die dich in der Nacht leiser machen.","Незаметные движения и контроль дыхания, которые позволяют вам вести себя тише ночью.","Subtelne ruchy i kontrola oddechu, które sprawiają, że jesteś cichszy w nocy.","Finom mozdulatok és légzéskontroll, amelyek halkabbá teszik az éjszaka folyamán.",Movimenti sottili e controllo del respiro che ti rendono più silenzioso durante la notte.,Movimientos sutiles y control de la respiración que te hacen más silencioso durante la noche.,Des mouvements subtils et un contrôle de la respiration qui vous rendent plus silencieux pendant la nuit.,微妙的動作與呼吸控制，讓您在夜間更加安靜。,夜間の行動をより静かにする、繊細な動きと呼吸のコントロール。,Movimentos sutis e controle da respiração que o tornam mais silencioso durante a noite.,微妙的动作与呼吸控制，让您在夜间更加安静。,
"STR_TERJECORE_EFFECT_LEVEL_0","LEVEL","LEVEL","ÚROVEŇ","STUFE","УРОВЕНЬ","POZIOM","","LIVELLO","NIVEL","NIVEAU","","レベル","NÍVEL","",
"STR_TERJECORE_EFFECT_LEVEL_1","","","","","","",". SZINT","","","","級","","","级",
"STR_TERJECORE_EFFECT_HEALTH","HEALTH","HEALTH","ZDRAVÍ","GESUNDHEIT","ЗДОРОВЬЕ","ZDROWIE","EGÉSZSÉG","SALUTE","SALUD","SANTÉ","健康","健康","SAÚDE","健康",
"STR_TERJECORE_EFFECT_BLOOD","BLOOD","BLOOD","KREV","BLUT","КРОВЬ","KREW","VÉR","SANGUE","SANGRE","SANG","血液","血液","SANGUE","血液",
"STR_TERJECORE_EFFECT_SHOCK","SHOCK","SHOCK","ŠOK","SCHOCK","ШОК","SZOK","SZOK","SHOCK","CHOQUE","CHOC","休克","ショック","CHOQUE","休克",
"STR_TERJECORE_EFFECT_ENERGY","NUTRITION","NUTRITION","VÝŽIVA","NÄHRSTOFFE","ПИТАТЕЛЬНОСТЬ","POŻYWIENIE","TÁPLÁKOZÁS","NUTRIZIONE","NUTRICIÓN","NUTRITION","營養","栄養","NUTRIÇÃO","营养",
"STR_TERJECORE_EFFECT_WATER","HYDRATION","HYDRATION","HYDRATACE","HYDRATION","ГИДРАЦИЯ","NAWODNIENIE","HIDRATÁCIÓ","IDRATAZIONE","HIDRATACIÓN","HYDRATATION","水分值","水分補給","HIDRATAÇÃO","水分值",
"STR_TERJECORE_PIS_HEALTH","Health","Health","Zdraví","Gesundheit","Здоровье","Zdrowie","Egészség","Salute","Salud","Santé","健康","健康","Saúde","健康",
"STR_TERJECORE_PIS_HEALTH_CRIT","Critically low level of health","Critically low level of health","Kriticky nízká úroveň zdraví","Kritisch niedrige Gesundheit","Критически низкий уровень здоровья","Krytycznie niski poziom zdrowia","Kritikusan alacsony egészségügyi szint","Salute criticamente bassa","Salud críticamente baja","État de santé critique","健康水平極低","非常に低いレベルの健康","Nível de saúde criticamente baixo","健康水平极低",
"STR_TERJECORE_PIS_HEALTH_LOW","Low level of health","Low level of health","Nízká úroveň zdraví","Niedrige Gesundheit","Низкий уровень здоровья","Niski poziom zdrowia","Alacsony egészségügyi szint","Bassa salute","Baja salud","Mauvaise santé","健康水平低","低レベルの健康","Baixa saúde","健康水平低",
"STR_TERJECORE_PIS_HEALTH_WARN","The level of health is below normal","The level of health is below normal","Úroveň zdraví pod normálem","Gesundheitsniveau ist niedriger als normal","Уровень здоровья ниже нормы","Poziom zdrowia poniżej normy","Az egészség szintje a normál alatt van","Livello di salute inferiore al normale","Nivel de salud por debajo de lo normal","Niveau de santé inférieur à la normale","健康水平低於正常範圍","健康のレベルは正常以下です","Saúde abaixo do normal","健康水平低于正常水平",
"STR_TERJECORE_PIS_BLOOD","Blood","Blood","Krev","Blut","Кровь","Krew","Vér","Sangue","Sangre","Sang","血液","血","Sangue","血",
"STR_TERJECORE_PIS_BLOOD_CRIT","Critically low blood levels","Critically low blood levels","Kriticky nízká hladina krve","Kritisch niedrige Blutwerte","Критически низкий уровень крови","Krytycznie niski poziom krwi","Kritikusan alacsony vérszint","Livelli ematici criticamente bassi","Niveles sanguíneos críticamente bajos","Taux sanguin extrêmement bas","血液水平低極低","血中濃度が非常に低い","Níveis sanguíneos extremamente baixos","血液浓度极低",
"STR_TERJECORE_PIS_BLOOD_LOW","Low blood levels","Low blood levels","Nízká hladina krve","Niedriger Blutspiegel","Низкий уровень крови","Niski poziom krwi","Alacsony vérszint","Bassi livelli ematici","Niveles bajos de sangre","Faible taux sanguin","血液水平低","低血中濃度","Baixos níveis sanguíneos","血液浓度低",
"STR_TERJECORE_PIS_BLOOD_WARN","The blood level is below normal","The blood level is below normal","Hladina krve pod normálem","Der Blutspiegel ist niedriger als normal","Уровень крови ниже нормы","Poziom krwi poniżej normy","A vérszint a normál alatt van","Livelli ematici inferiori al normale","Niveles de sangre por debajo de lo normal","Taux sanguin inférieur à la normale","血液水平低於正常範圍","血中濃度は正常以下です","Níveis sanguíneos abaixo do normal","血液浓度水平低于正常水平",
"STR_TERJECORE_PIS_BBONES","Fractures","Fractures","Zlomenina","Frakturen","Переломы","Złamanie","Törések","Fratture","Fracturas","Fractures","骨折","骨折","Fratura","骨折",
"STR_TERJECORE_PIS_BBONES_LEGS","Closed bone fracture in one of the legs","Closed bone fracture in one of the legs","Uzavřená zlomenina kosti v jedné z nohou","Geschlossener Knochenbruch in einem der Beine","Закрытый перелом кости в одной из ног","Zamknięte złamanie kości w jednej z nóg","Zárt csonttörés az egyik lábon","Frattura ossea chiusa in una delle gambe","Fractura de hueso cerrada en una de las piernas","Fracture osseuse fermée dans l'une des jambes","一條腿閉合性骨折","片方の脚の閉じた骨折","Fratura óssea fechada em uma das pernas","一条腿闭合性骨折",
"STR_TERJECORE_PIS_INCUBATION","Incubation period (without symptoms of the disease)","Incubation period (without symptoms of the disease)","Inkubační doba (bez příznaků onemocnění)","Inkubationszeit (ohne Krankheitssymptome)","Инкубационный период (без симптомов болезни)","Okres inkubacji (bez objawów choroby)","Inkubációs időszak (a betegség tünetei nélkül)","Periodo di incubazione (senza sintomi di malattia)","Período de incubación (sin síntomas de enfermedad)","Période d'incubation (sans symptômes)","潛伏期（無症狀階段）","潜伏期間（病気の症状なし）","Período de incubação (sem sintomas)","潜伏期（无症状阶段）",
"STR_TERJECORE_COND_SP","Available to a limited list of players","Available to a limited list of players","K dispozici omezený seznam hráčů","Für eine begrenzte Anzahl von Spielern verfügbar","Доступен ограниченому списку игроков","Dostępna dla ograniczonej listy graczy","Korlátozott számú játékos számára elérhető","Disponibile per un elenco limitato di giocatori","Disponible para una lista limitada de jugadores","Disponible pour une liste limitée de joueurs","提供给有限的玩家名单","プレイヤーの限られたリストに利用可能","Disponível para uma lista limitada de jogadores","提供给有限的玩家名单",
"STR_TERJECORE_COND_TM","Timeout (active): ","Timeout (active): ","Časový limit (aktivní): zbývá ","Timeout (aktiv): Noch ","Таймаут (активный): осталось","Timeout (active): pozostało ","Időkorlát (aktív): ","Timeout (attivo): ","Tiempo de espera (activo): quedan ","Délai d'expiration (actif): ","超时（活动）：还剩","タイムアウト（アクティブ）：残り","Tempo limite (ativo): ","超时（活动）：还剩",
"STR_TERJECORE_SECOND","seconds","seconds","sekundy","Sekunden","секунд","chwila","másodperc","seconde","segundas","secondes","秒数","秒","segundo","秒数",
